"","year","month","monthly.american.shad.JAI","monthly.alewife.JAI","monthly.blueback.herring.JAI","monthly.hickory.shad.JAI","date"
"1",1972,8,0,0,4.5,0,1972-08-01
"2",1972,9,0,20.3333333333333,1329,0,1972-09-01
"3",1972,10,0.375,0.375,21.25,0,1972-10-01
"4",1972,11,0,0,13.125,0,1972-11-01
"5",1972,12,0,0,3.625,0,1972-12-01
"6",1973,1,0,0,1.375,0,1973-01-01
"7",1973,2,0.125,0.125,1.125,0,1973-02-01
"8",1973,3,0,0.125,29,0,1973-03-01
"9",1973,4,0.0909090909090909,0,6.72727272727273,0,1973-04-01
"10",1973,5,0,0,0,0.2,1973-05-01
"11",1973,6,0.375,26.75,151.75,0,1973-06-01
"12",1973,7,0,0.888888888888889,46.2222222222222,0,1973-07-01
"13",1973,8,0.142857142857143,13.4285714285714,806.857142857143,0,1973-08-01
"14",1973,9,0.375,0.375,772.125,0,1973-09-01
"15",1973,10,0,0.125,365.125,0,1973-10-01
"16",1973,11,0.166666666666667,0.416666666666667,214,0,1973-11-01
"17",1973,12,0,0,1.2,0,1973-12-01
"18",1974,1,0,0.333333333333333,47,0,1974-01-01
"19",1974,2,0,0.666666666666667,30.6666666666667,0,1974-02-01
"20",1974,3,0,0,110.888888888889,0,1974-03-01
"21",1974,4,0.111111111111111,0,51.5555555555556,0,1974-04-01
"22",1974,5,0,0,0,0,1974-05-01
"23",1974,6,0,3.33333333333333,81.1111111111111,0,1974-06-01
"24",1974,7,0,0.222222222222222,94,0.111111111111111,1974-07-01
"25",1974,8,0,0.777777777777778,117,0,1974-08-01
"26",1974,9,0,0,25.3,0,1974-09-01
"27",1974,10,0,0,15.875,0,1974-10-01
"28",1974,11,0,0.333333333333333,58.4444444444444,0,1974-11-01
"29",1974,12,0,0.111111111111111,2.55555555555556,0,1974-12-01
"30",1975,1,0,0,0.111111111111111,0,1975-01-01
"31",1975,2,0,0,21.6666666666667,0,1975-02-01
"32",1975,5,0,1.44444444444444,0,0,1975-05-01
"33",1975,6,0,4.66666666666667,174,0,1975-06-01
"34",1975,7,0,34.7777777777778,56.4444444444444,0.222222222222222,1975-07-01
"35",1975,8,0,0,13.2222222222222,0,1975-08-01
"36",1975,9,1,2.66666666666667,309.888888888889,0,1975-09-01
"37",1975,10,0,0.571428571428571,194.428571428571,0.857142857142857,1975-10-01
"38",1975,11,0,0.111111111111111,131.111111111111,0,1975-11-01
"39",1975,12,0,0.375,29.5,0,1975-12-01
"40",1976,1,0,0,88,0,1976-01-01
"41",1976,2,0,0,0,0,1976-02-01
"42",1976,6,0,5.57142857142857,845.857142857143,0,1976-06-01
"43",1976,7,0,0.333333333333333,45,0,1976-07-01
"44",1976,8,0,0.111111111111111,30.6666666666667,0,1976-08-01
"45",1976,9,0,0.25,11.375,0,1976-09-01
"46",1976,10,0,2.25,132.625,0.125,1976-10-01
"47",1976,11,0,0,0.333333333333333,0,1976-11-01
"48",1976,12,0,0,42.375,0,1976-12-01
"49",1977,6,0,20.5555555555556,120,0,1977-06-01
"50",1977,7,0,4.77777777777778,35.7777777777778,0,1977-07-01
